,Number,Clean data
68,69,nisei femal born lo angel california dure world war ii remov pomona assembl center california heart mountain concentr camp wyom
69,70,yonsei femal born august chicago illinoi grew chicago parent famili resettl world war ii involv
70,71,nisei male born march sacramento california grew sacramento father migrant farm labor dure world war ii remov
71,72,niseisansei femal born decemb lo angel california dure world war ii sent famili santa anita assembl center california
72,73,nisei femal born februari portland oregon grew portland sent educ japan age sixteen marri
73,74,white male born spokan washington serv pastor first methodist church portland oregon mainli japanes american congreg thirteen
74,75,nisei male born januari clovi new mexico father work santa fe railroad on januari offici round
75,76,nisei femal born juli seattl washington spent childhood seattl nihonmachi japantown parent ran u hotel attend bailey gatzert grade
76,77,nisei femal born juli grew bainbridg island washington parent ran farm dure world war ii remov manzanar
77,78,nisei femal born januari lo angel california dure world war ii incarcer manzanar concentr camp california wrote manzanar
78,79,nisei male born januari brother frank emi leader heart mountain fair play committe fpc while incarcer help fpc organ
79,80,nisei male born septemb lo angel california attend lo angel citi colleg one year leav run famili produc
80,81,
81,82,nisei male born septemb milwauki oregon dure world war ii remov portland assembl center oregon minidoka concentr camp
82,83,nisei male born februari san francisco california grew san francisco attend univers california berkeley after
83,84,white femal born juli fullerton california grew bishop california rememb vise manzanar concentr camp california world war ii
84,85,nisei femal born novemb harwick california dure world war ii age nine remov famili fresno assembl
85,86,white male born brooklyn new york grew new york father mechan after world war ii enlist
86,87,shinissei femal born march kasuga fukuoka japan grew kasuga parent ran farm graduat girl high school
87,88,male italian irish descent born baltimor maryland grew countrysid outsid baltimor parent younger sister
88,89,nisei male born may marysvil california famili oper farm prior world war ii follow bomb pearl harbor
89,90,kibei male born august portland oregon sent sibl educ japan ten year old return unit
90,91,nisei femal born march nyssa oregon parent ran farm dure world war ii remov portland assembl center oregon
91,92,nisei male born gresham oregon grew greshamtroutdal area parent ran farm dure world war ii remov
92,93,nisei male born januari seattl washington grew jackson street neighborhood seattl washington incarcer puyallup assembl center washington
93,94,nisei femal born march brook oregon grew brook parent ran farm dure world war ii remov
94,95,nisei femal born berkeley california dure world war ii remov tanforan assembl center california topaz concentr camp utah after
95,96,nisei femal born januari one four sister grew near lo angel california parent ran nurseri busi follow bomb
96,97,nisei male born januari colusa california rais ault colorado famili oper produc sugar beet farm assum respons farm
97,98,nisei male born lo angel california grew lo angel parent ran farm father becam garden dure world
98,99,nisei male born januari seattl washington spent prewar year seattl nihonmachiyesl terrac area incarcer puyallup assembl center washington
99,100,kibei male born august a child sent live japan father pas attend school japan draft
100,101,nisei male born april lo angel california grew california prior world war ii remov manzanar concentr camp california
101,102,yonsei male born februari lo angel california grew lo angel after graduat colleg took famili prestigi mortuari
102,103,nisei femal born septemb seattl washington had younger sister three younger brother father riichiro fukano employ orient trade compani
103,104,nisei femal born march montebello california live sever place southern california father flower grower dure world war
104,105,nisei male born februari lo angel california grew lo angel father custodi work dure world war ii remov
105,106,yuriko furubayashi born januari waimea hawaii one ten child famili her father come hawaii
106,107,sansei femal born decemb topaz concentr camp utah prior world war ii parent live work alameda california dure
107,108,nisei femal born march san jose california prior world war ii sent father live japan rel remain
108,109,nisei male grew hilo hawaii wa veterinari student kansa state univers japan bomb pearl harbor volunt militari intellig
109,110,sansei male born novemb lo angel california dure world war ii father tuberculosi sanitarium taken
110,111,ana tanaka dr kyle kinoshita interview gabriel kazuko nomura gainor gainor mixedrac gosei fifth gener japanes american repres next gener
111,112,born wilmington delawar dure redress movement work depart justic offic redress administr os establish identifi
112,113,nisei femal born may milwauki oregon marri bomb pearl harbor two child dure world war ii remov
113,114,nisei femal born june alameda california wa age three japan bomb pearl harbor decemb remov famili
114,115,sansei femal born octob compton california a infant taken famili manzanar concentr camp california after govern issu
115,116,kibei nisei coupl kikuno born unit state move japan famili father pas away in lead
116,117,kibei nisei coupl kikuno born unit state move japan famili father pas away in lead
117,118,nisei femal born may sacramento california dure world war ii sent famili sacramento assembl center california tule
118,119,kibei male grew kona hawaii after bomb pearl harbor volunt militari intellig instructor languag
119,120,nisei femal born septemb seattl washington parent oper store sanitari market known pike place market father
120,121,white femal born juli seattl washington grew seattl father gene boyd work seattl park depart gene
121,122,nisei male born june grew portland oregon after japan bomb pearl harbor receiv permit remain portland mass
122,123,nisei femal born juli portland oregon grew portland father own cloth store dure world war ii remov
123,124,nisei femal born march hilo hawaii grew hilo father work japaneselanguag newspap follow bomb pearl
124,125,nisei male born may san gabriel california grew covina area california parent ran farm dure world
125,126,nisei femal born juli san gabriel california spent childhood lo angel father oper shoe repair busi groceri store
126,127,nisei male born octob japan parent visit famili came u three month old grew
127,128,nisei male born march penryn california spent childhood san jose california remov santa anita assembl center
128,129,geri handa born san jose california studi earli school social welfar univers
129,130,white male born octob hoboken new jersey educ histori ba ma phd univers california santa barbara work histori professor
130,131,white male born june seattl washington grew bainbridg island washington mani japanes american friend observ mass remov
131,132,nisei male born januari portland oregon parent ran hotel busi dure world war ii remov portland assembl center
132,133,nisei femal born may seattl washington spent childhood seattl move chicago illinoi three year studi music taught
133,134,nisei femal born septemb portland oregon grew portland famili ran greenhous busi dure world war ii remov
134,135,kibei male born june lo angel california grew lo angel move japan attend school return
135,136,white femal born octob grew honolulu hawaii world war ii after colleg took job offic indian
136,137,nisei femal born octob parkdal oregon grew parkdal parent ran farm dure world war ii remov
137,138,nisei male born june bainbridg island washington hi famili built oper bainbridg garden acr meticul landscap properti
138,139,nisei femal born januari bellevu washington rais bellevu farm marri child incarcer pinedal
139,140,nisei femal born may lo angel california grew lo angel parent ran clean busi dure world war ii
140,141,nisei male born septemb watsonvil california grew watsonvil remov salina assembl center california poston
141,142,nisei femal born march rais seattl washington after bomb pearl harbor remov puyallup assembl center washington
142,143,nisei femal born may winslow washington famili move bank oregon natsuko young dure world war ii move ontario
143,144,nisei male born june mission british columbia canada grew mission move japan mother sister age
144,145,sansei femal born august de moin iowa spent earli childhood de moin father work refriger air condit
145,146,nisei femal born decemb gardena california grew gardena parent ran restaur after bomb pearl harbor father
146,147,nisei male born januari el centro california grew variou place father establish seed busi dure world war ii
147,148,nisei femal born may sacramento california grew loomi area california parent ran farm fruit orchard
148,149,sansei femal born septemb honolulu hawaii grew honolulu parent own oper bakeri after bomb pearl
149,150,nisei male born april san francisco california grew san jose california father ran farm wa activ member
150,151,in interview camila nakashima bill tashima interview loi hayasaka widow late phil hayasaka seattl jacl chapter presid hayasaka
151,152,in interview camila nakashima bill tashima interview loi hayasaka widow late phil hayasaka seattl jacl chapter presid hayasaka
152,153,sansei femal born may member san jose nihonmachi outreach committe noc nation coalit redressrepar ncrr help recruit individu testifi
153,154,nisei femal born januari lo angel california grew lo angel area parent ran flower busi dure world
154,155,born parlier fresno counti california matsuko hayashi pseudonym grew second oldest eight child firstgener
155,156,sansei male born septemb oakland california grandfath father famili member establish nurseri busi san francisco california prior
156,157,nisei femal born april portland oregon grew beaverton oregon parent farm sold produc nearbi market dure
157,158,nisei femal born januari winslow washington grew japan fletcher bay area bainbridg island washington member
158,159,nisei male born may seattl washington grew japanes american farm commun bellevu washington incarcer pinedal assembl
159,160,nisei femal born june willow california grew sacramento california prior world war ii dure war remov
160,161,white male born juli serv u armi world war ii work japanes american interpret u occup
161,162,nisei femal born august sacramento california grew sacramento lo angel dure world war ii remov manzanar concentr
162,163,nisei femal born august la jolla california dure world war ii remov santa anita assembl center california jerom
163,164,nisei male born april modesto california grew modesto parent ran laundri busi farm dure world
164,165,nisei femal born march seattl washington grew seattl ellensburg washington go japan teach prior
165,166,sansei femal born lo angel california dure world war ii famili sent santa anita assembl center california
166,167,nisei femal born januari lo angel counti california at young age remov poston concentr camp arizona famili after
167,168,nisei male born april portland oregon grew lake oswego oregon parent ran farm dure world war ii remov
168,169,nisei femal born august milwauki oregon grew milwauki parent ran farm after bomb pearl harbor remov
169,170,nisei femal born juli san jose california move famili frequent child return san jose high school
170,171,nisei male born septemb thoma washington grew small town thoma famili part white river valley
171,172,nisei male born april seattl washington spent childhood thoma washington parent part christian
172,173,kibei male born novemb thoma washington went japan age twelv attend school return u high
173,174,niseisansei femal born seattl washington grew town christoph part auburn washington parent ran groceri store
174,175,nisei male born octob small town thoma washington famili farm attend school auburn washington remov
175,176,sansei femal born may san rafael california grew san rafael eventu attend california state univers hayward univers california
176,177,sansei male born januari berkeley california grew oakland got involv music earli age attend cal state
177,178,nisei femal born denver colorado grew denver father tailor establish newspap rocki nippon dure world
178,179,niseisansei femal born novemb san francisco california remov tanforan assembl center california topaz concentr camp utah famili resettl salt
179,180,kibei male born februari hilo hawaii at age four move japan famili oper farm attend school
180,181,nisei male born februari lodi california resettl voluntarili mankato minnesota prior mass remov resettl central california member
181,182,kibeinisei male born novemb spokan washington at age ten went japan grandfath dure world war ii conscript
182,183,nisei femal born novemb wenatche washington grew wenatche move seattl famili incarcer puyallup
183,184,nisei male born juli alviso california live variou place california child after bomb pearl harbor
184,185,nisei femal born juli seattl washington father ran promin hotel frequent patron visit japanes dignitari father pick
185,186,nisei male born courtland california grew clarksburg area parent ran farm dure world war ii remov turlock
186,187,nisei femal born januari sacramento california grew small commun clarksburg courtland war dure world war
187,188,sansei male after world war ii attend japanes languag school clarksburg holland gakuen
188,189,nisei femal born januari florin california grew florin parent oper farm dure world war ii remov
189,190,nisei male born june oakland california grew oakland berkeley california after bomb pearl harbor remov famili
190,191,nisei male februari bellevu washington dure world war ii incarcer pinedal assembl center california tule lake concentr camp california
191,192,nisei femal born hood river oregon grew hood river parent own oper orchard dure world war ii remov
192,193,nisei male born march san francisco california grew lo angel california dure world war ii remov manzanar
193,194,nisei femal born may long beach california dure world war ii remov santa anita assembl center california jerom
194,195,issei femal born june tono citi iwateken japan immigr unit state incarcer santa anita assembl center
195,196,sansei male born juli tule lake concentr camp california parent hawaii father pick fbi
196,197,nisei femal born septemb santa clara california grew santa clara redwood citi california world war ii dure
197,198,nisei femal born june hilo hawaii after japan bomb pearl harbor decemb father pick fbi
198,199,nisei male born januari seattl washington grew seattl parent own hotel intern district in interview discus
199,200,nisei male born san francisco california after bomb pearl harbor move famili stay rel watsonvil california dure
200,201,nisei male born decemb salem oregon famili move frequent war due father profess methodist minist dure world
201,202,nisei male born juli gardena california passiv resist evacu forc two soldier carri home incarcer
202,203,nisei femal born novemb portland oregon grew portland parent ran clean busi dure world war ii remov
203,204,nisei femal born februari seattl washington grew seattl bellevu washington area in involv seriou
204,205,sansei femal born june denver colorado parent move leav camp world war ii grew om denver father
205,206,nisei male born juli seattl washington grew seattl remov puyallup assembl center washington minidoka
206,207,femal born august vallejo california due father career promin navi admir move frequent grow live hawaii
207,208,nisei male born septemb tacoma washington grew tacoma except live japan sever year age four attend
208,209,nisei male born april seattl washington spent prewar year seattl central area incarcer puyallup assembl center washington minidoka
209,210,nisei male born decemb livingston california parent help establish farm commun call yamato coloni lost father
210,211,nisei male born octob lo angel california grew lo angel parent own oper produc store after
211,212,nisei male born seattl januari attend washington grade school garfield high school univers washington he grew
212,213,sansei femal born april sacramento california grew sacramento move boyl height california dure world war ii remov
213,214,nisei male born novemb fresno california move famili young age seattl washington father minist
214,215,issei femal born shimonoseki japan attend school japan encourag father studi english marri buddhist minist immigr
215,216,nisei femal born decemb stockton california grew sacramento boyl height california attend maryknol cathol school lo angel dure
216,217,nisei femal born march portland oregon grew independ oregon parent ran farm marri pregnant first
217,218,nisei male born februari san juan bautista california grew nearbi town salina dure world war ii remov
218,219,nisei femal born februari fresno california parent own tofu shop mother pas away prior world war ii give birth
219,220,nisei femal born may seattl washington grew seatl father wsa head bellboy exclus club attend
220,221,sansei male born januari seattl washington dure world war ii parent incarcer puyallup assembl center washington minidoka concentr
221,222,nisei male born august portland oregon incarcer north portland assembl center minidoka concentr camp idaho kept diari begin
222,223,nisei male born februari seattl washington grew seattl japantown area parent oper hotel after bomb pearl
223,224,sansei male born decemb lo angel california dure world war ii parent incarcer tule lake concentr camp california
224,225,nisei femal born februari lo angel california grew santa monica california marri prior world war ii dure war
225,226,nisei male born august lo angel california dure world war ii remov manzanar concentr camp california work reservoir
226,227,niseisansei male born juli seattl washington parent ran hotel dure world war ii remov puyallup assembl center washington
227,228,nisei male born august oakland california follow bomb pearl harbor move famili reno nevada
228,229,nisei femal born june vacavil california grew vacavil remov turlock assembl center california gila
229,230,nisei male born januari dee oregon grew dee former sawmil town father work oregon lumber compani
230,231,sansei male born april gila river concentr camp arizona hi father late rev kanmo imamura former bishop
231,232,sansei femal born may tule lake concentr camp california her parent kibei grew san francisco california dure world
232,233,nisei male born may walnut grove california parent work canal ranch agricultur commun grew produc libbi mcneill
233,234,sansei male born septemb yakima washington grew yakima area sever gener famili member run farm
234,235,nisei femal born septemb portland oregon grew milwauki oregon parent ran farm dure world war ii remov
235,236,nisei femal born februari portland oregon grew portland area parent ran farm dure world war ii remov
236,237,nisei male born januari seattl washington grew tacoma washington father ran japanes confectioneri in earli move
237,238,nisei femal born san juan bautista california dure world war ii remov husband manzanar concentr camp california a result
238,239,nisei male born august waipahu hawaii grew waipahu sugar plantat parent work wa attend midpacif institut honolulu
239,240,nisei male born septemb honolulu hawaii serv allvolunt allnisei nd regiment combat team world war ii lost right
240,241,nisei femal born novemb seattl washington grew seattl graduat salutatorian broadway high school wa enrol premed
241,242,issei femal born novemb okinawa japan grew japan parent ran farm dure world war ii alli
242,243,nisei femal born april portland oregon grew portland parent ran hotel in went famili
243,244,nisei femal born septemb bakersfield california follow bomb pearl harbor remov poston concentr camp arizona after leav
244,245,white male born salem massachusett famili move frequent childhood due father employ strongli influenc parent valu regard racial toler
245,246,nisei male born april thoma washington grew thoma father ran gener store dure world war ii remov
246,247,nisei femal born septemb grew culver citi california parent ran nurseri busi dure world war ii remov
247,248,nisei male born june fresno california grew gardena area lo angel california move japan parent
248,249,in interview ana tanaka joy misako st germain led convers ray ishii serv seattl jacl presid
249,250,nisei male born juli lo angel california went live japan colleg student return prior bomb
250,251,nisei femal born june mayfield california grew mountain view area famili ran berri farm after japan bomb
251,252,nisei male born januari berkeley california serv militari intellig servic world war ii
252,253,sansei male born april east lo angel grew south central lo angel watt neighborhood parent own
253,254,nisei femal born march seattl washington spent childhood medina bellevu washington while high school member
254,255,nisei male born august riversid california grew lo angel california graduat colleg world war ii dure war
255,256,nisei male born august mission british columbia canada grew mission attend school help famili farm left home
256,257,nisei male born juli stockton california emeritu professor anatomi harvard medic school dure world war ii second lieuten nd
257,258,nisei femal born septemb lo angel california grew lo angel father work littl tokyo dure world war ii
258,259,nisei male born octob bellevu washington dure world war ii incarcer pinedal assembl center california tule lake concentr camp
259,260,sansei male born juli san francisco california grew san francisco develop earli interest disney
260,261,nisei femal born decemb berkeley california grew berkeley parent oper nurseri busi after bomb pearl harbor
261,262,nisei femal born may watsonvil california grew watsonvil marri bomb pearl harbor dure world war ii
262,263,nisei femal born novemb portland oregon grew portland parent ran hotel busi dure world war ii remov
263,264,nisei male born june termin island california grew termin island remov manzanar concentr camp california
264,265,nisei femal grew san francisco california dure world war ii remov santa anita assembl center california topaz concentr
265,266,nisei male wgrew california dure world war ii remov tanforan assembl center california topaz concentr camp utah
266,267,nisei male born februari rais california remov manzanar concentr camp california follow bomb pearl harbor after world war
267,268,nisei male born may villa park california grew termin island california father fisherman dure world war ii
268,269,nisei femal born novemb watsonvil california grew watsonvil famili oper truck farm after bomb pearl harbor
269,270,born septemb madra india attend jakarta intern school indonesia move unit state attend colleg georgetown
270,271,born alexandria virginia dure redress movement depart justic offic redress administr os establish identifi administ repar payment
271,272,white male born arkansa dure world war ii father project director rohwer concentr camp arkansa jame along
272,273,white male born arkansa dure world war ii father project director rohwer concentr camp arkansa william along
273,274,white male born juli salina california parent own oper farm salina area prior world war ii dure
274,275,nisei femal born septemb port moodi british columbia canada went parent japan attend school return
275,276,nisei male born juli lo angel california grew lo angel area lost parent earli age
276,277,sansei male born march lo angel california son akira kageyama one key player guyaul rubberproduc project
277,278,nisei femal born januari monterey park california grew sever differ place california parent ran truck farm busi dure
278,279,sansei femal born june chicago illinoi dure world war ii father famili sent santa anita assembl center california
279,280,nisei male born may lo angel california grew lo angel high school japan bomb pearl harbor
280,281,nisei femal born april lo angel california grew boyl height neighborhood father promin medic physician dure
281,282,nisei male born march oyster bay washington incarcer tule lake concentr camp california serv fundrais chair japanes american
282,283,nisei male grew lo angel california marri remov wife tanforan assembl center california topaz concentr
283,284,nisei femal born juli portland oregon grew greshamtroutdal area oregon parent farm dure world war
284,285,born virginia dure redress movement work depart justic offic redress administr os establish identifi administ
285,286,nisei male born april galt california grew hollist california dure world war ii remov salina assembl center california
286,287,nisei male born june fairfax washington grew venic california parent produc farm dure world war ii remov
287,288,nisei femal born octob pasadena california grew pasadena father work garden dure world war ii remov
288,289,nisei male born juli seattl washington grew thomasauburn area washington follow execut order famili remov
289,290,nisei femal born octob lo angel california grew lo angel age nine japan bomb pearl harbor dure
290,291,nisei femal born septemb pasadena california grew lo angel father oper success importexport busi retail store graduat
291,292,born honolulu hawaii dure redress movement depart justic offic redress administr os establish identifi administ repar payment
292,293,nisei femal born decemb seattl washington live japan fifteen month child return seattl attend junior
293,294,nisei femal born januari lo angel california grew covina california work wartim civil control administr wcca volunt
294,295,nisei femal born decemb el centro california grew variou place california parent own barbershop after bomb
295,296,nisei femal born april baldwin park california after bomb pearl harbor move sister new york sponsorship
296,297,nisei femal born april portland oregon spent one summer japan onset war u japan
297,298,nisei male born june seattl washington follow bomb pearl harbor remov puyallup assembl center washington minidoka
298,299,nisei femal born april seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resettl war
299,300,nisei male born april waialua hawaii grew hawaii father buddhist priest dure world war ii serv
300,301,nisei femal born februari isleton california grew isleton parent oper board hous after bomb pearl harbor
301,302,nisei male born novemb sacramento california spent childhood adolesc loomi california spend senior year high school lo
302,303,nisei femal born june sacramento california grew newcastl california parent tenant farmer dure world war ii remov
303,304,nisei male born septemb portland oregon grew portland parent ran small groceri store dure world war ii remov
304,305,nisei male born decemb seattl washington grew seattl dure world war ii incarcer minidoka concentr camp idaho serv
305,306,niseisansei femal born februari hood river oregon grew mosier oregon parent work orchard truck
306,307,nisei femal born septemb san francisco california grew san francisco father ran dri clean busi dure world war
307,308,nisei male born septemb san leandro california grew san leandro father ran farm dure world war ii remov
308,309,nisei male born decemb cupertino california attend san jose state colleg ncaa wrestl champion immedi bomb
309,310,nisei male born june graham washington move famili earli age lo angel california father own oper
310,311,nisei male born may san juan capistrano california grew variou place california dure world war ii remov
311,312,sansei femal born april auburn california grew loomi california dure world war ii remov marysvil assembl center california
312,313,nisei male born novemb mountain view hawaii grew hawaii parent ran sugar cane plantat wa work haul lumber
313,314,yonsei born lo angel california rais ohio dure world war ii member famili incarcer manzanar tule
314,315,white male german descent born decemb oketo kansa work shipyard termin island california japan bomb pearl harbor
315,316,sansei femal born decemb sawtel california grew huntington beach california father work chauffeur after bomb
316,317,nisei male born octob lo angel california grew hollywood neighborhood lo angel parent ran dri clean
317,318,male born octob amach colorado river concentr camp colorado grew san francisco california parent ran hotel at
318,319,sansei male born januari sacramento california grew florin area parent ran farm dure world war ii remov
319,320,nisei male recruit teach armi languag school fall help establish militari intellig servic languag school presidio
320,321,nisei femal born januari portland oregon grew fairview oregon famili ran farm marri child
321,322,nisei male born octob childhood live variou place midwest seattl washington lo angel california wa high
322,323,nisei male born decemb lo angel california grew lo angel dure world war ii volunt move manzanar concentr
323,324,kibei male born march lo angel california at month age remov manzanar tule lake concentr
324,325,nisei femal born may lo angel california grew boyl height father promin baptist minist establish
325,326,nisei male born januari sacramento california dure world war ii sent topaz concentr camp utah volunt militari
326,327,nisei male born septemb sheridan wyom at young age move seattl washington spent childhood wa enrol
327,328,nisei male born august spent earli year japan return bainbridg island washington dure world war ii remov manzanar
328,329,nisei femal born octob enumclaw washington famili move nahcotta washington ran oyster farm marri prior world war ii
329,330,nisei femal born octob seattl washington grew green lake area incarcer puyallup assembl center washington
330,331,nisei male born octob gresham oregon grew gresham parent ran farm dure world war ii remov
331,332,in interview brent sato joy misako st germain interview dr kyle kinoshita discus kinoshita mother late cherri kinoshita kyle kinoshita
332,333,nisei femal born februari portland oregon dure world war ii remov portland assembl center oregon minidoka concentr camp
333,334,sansei femal born novemb lo angel california dure world war ii remov small child manzanar concentr camp california
334,335,sansei male born decemb san jose california remov infant parent heart mountain concentr camp wyom after leav
335,336,nisei male born august ookala hawaii at young age sent japan live grandfath begin ministri train
336,337,nisei femal born octob strawberri hill british columbia near vancouv grew strawberri hill parent ran farm dure world
337,338,sansei male born may bainbridg island washington incarcer parent manzanar concentr camp california minidoka concentr camp idaho return
338,339,nisei femal born april bainbridg island washington grew bainbridg eight year old japan bomb pearl harbor
339,340,nisei femal born hayward california marri remov husband tanforan assembl center california topaz concentr camp
340,341,nisei male born juli bainbridg island washington grew bainbridg parent ran nurseri busi dure world war ii remov
341,342,nisei male born novemb portland oregon grew portland parent ran hotel dure world war ii remov
342,343,kibei male born octob seattl washington rais primarili san francisco california spend four year hiratsuka japan wa incarcer
343,344,nisei male born april watsonvil california grew watsonvil age six famili move salina follow bomb
344,345,nisei male born juli imperi valley california incarcer tular assembl center california gila river concentr camp arizona tule
345,346,nisei femal born septemb seattl washington grew seattl great depress in late move famili
346,347,nisei male born septemb seattl washington grew seattl graduat univers washington prior world war ii
347,348,nisei femal born may san pedro california dure world war ii incarcer santa anita assembl center california jerom
348,349,nisei femal born august bainbridg island washington grew bainbridg island remov famili manzanar concentr camp california
349,350,nisei femal born june tacoma washington grew tacoma famili ran hotel wa studi nurs
350,351,nisei male born juli bainbridg island washington age japan bomb pearl harbor remov famili manzanar concentr camp
351,352,nisei femal born januari lo angel california grew sawtel area lo angel dure world war ii remov
352,353,nisei femal born juli honolulu hawaii grew commun aala vibrant neighborhood japanes american busi famili
353,354,sansei male born februari san francisco california grew san francisco attend uc berkeley went law school santa
354,355,nisei femal born may yakima valley washington spent childhood wapato washington follow bomb pearl harbor remov
355,356,nisei femal born septemb la jara colorado spent childhood alamosa colorado famili oper success produc farm marri
356,357,nisei male born decemb fort lupton colorado famili oper dairi farm receiv undergradu degre colorado am colorado state univers
357,358,nisei femal born august fort lupton colorado rais fort lupton famili oper produc farm attend colorado colleg educ
358,359,nisei male born januari oakland california mr korematsu work welder san francisco japan bomb pearl harbor
359,360,white femal born march greenvil south carolina attend winthrop colleg south carolina move detroit marri fred korematsu
360,361,shinissei femal born juli sasebo japan wa child okayama world war ii after war immigr unit
361,362,nisei male born septemb waikiki hawaii attend mckinley high school student bodi presid prior bomb
362,363,kibei male born june greeley colorado rais denver colorado age five sent japan school
363,364,nisei male born august mountain view california grew santa clara valley california work famili lea strawberri farm
